Index,Compound name,Q_R-,Q_R+,Q_T,Q_AFE_(A),Q_AFE_(O),CD_(2D),CD_(3D),target_label
Comp_127,NaYMnOsO6_L,0,1.4779,1.9479,0.5674,0.174,0.189,0,1
Comp_128,NaYMnOsO6_R,0,1.2021,1.7098,0.53505,0,0,0.159,2
Comp_129,NaYMnReO6_C,0.1688,1.4779,0,2.2062,0,0.06055,0,0
Comp_130,NaYMnReO6_L,0,1.4779,1.9479,0.5674,0.174,0.189,0,1
Comp_131,NaYMnReO6_R,0,1.2021,1.7098,0.53505,0,0,0.159,2
Comp_132,NaYMnWO6_C,0.0782,1.1492,0,7.5961,0,0.27535,0,0
Comp_133,NaYMnWO6_L,0,1.35259,1.5957,0.582785,0.61745,0.09296,0,1
Comp_134,NaYMnWO6_R,0,1.2162,1.7922,0.5445,0,0,0.22625,2
Comp_135,NaYNiOsO6_C,0.0582,1.1462,0,7.5377,0,0.1698,0,0
Comp_136,NaYNiOsO6_L,0,1.2453,1.4795,0.4046,0.4655,0.1133,0,1
Comp_137,NaYNiOsO6_R,0,1.1995,1.6555,0.52165,0,0,0.1183,2
Comp_138,NaYNiReO6_C,0.0479,1.0708,0,7.5762,0,0.1754,0,0
Comp_139,NaYNiReO6_L,0,1.2335,1.5596,0.4166,0.4562,0.0622,0,1
Comp_140,NaYNiReO6_R,0,1.1396,1.6364,0.50505,0,0,0.1229,2
Comp_141,NaYNiWO6_C,0.0479,1.0708,0,7.5762,0,0.1754,0,0
Comp_142,NaYNiWO6_L,0,1.1753,1.4599,0.3682,0.4714,0.0604,0,1
Comp_143,NaYNiWO6_R,0,1.1382,1.5937,0.4861,0,0,0.12725,2
Comp_144,NaYVOsO6_L,0,1.12209,1.41549,0.598485,0.36065,0.04472,0,1
Comp_145,NdSnMnNiO6_C,0.26505,1.45635,0,2.14897,0,0.305015,0,0
Comp_146,NdSnMnNiO6_L,0,1.0692,1.68112,0.81687,0.33129,0.04331,0,1
Comp_147,RbTaMnNiO6_R,0,1.3798,1.7267,1.02015,0,0,0.284,2
Comp_148,RbTmCrReO6_R,0,0.556,1.5032,0.39585,0,0,0.0286,2
Comp_149,RbTmCrWO6_R,0,0.5239,1.7978,0.53925,0,0,0.3776,2
Comp_150,RbTmVReO6_R,0,0.6552,1.505,0.4053,0,0,0.0441,2
Comp_151,RbTmVWO6_R,0,0.6075,1.6425,0.4399,0,0,0.1612,2
Comp_152,RbYCoReO6_L,0,0.93693,0.93529,0.359565,0.80254,0.00914,0,1
Comp_153,RbYCoWO6_R,0,0.7003,1.4497,0.4254,0,0,0.16915,2
Comp_154,RbYCrOsO6_R,0,0.561,1.3355,0.35185,0,0,0.02295,2
Comp_155,RbYCrWO6_C,0.0187,1.1213,0,1.2865,0,0.30245,0,0
Comp_156,RbYFeReO6_L,0,1.12392,1.43949,0.397725,1.66447,0.05658,0,1
Comp_157,RbYFeWO6_C,0.097,0.6967,0,1.4536,0,0.2814,0,0
Comp_158,RbYFeWO6_R,0,0.6969,1.5153,0.44,0,0,0.207,2
Comp_159,RbYMnReO6_C,0.0729,0.904,0,1.4828,0,0.30195,0,0
Comp_160,RbYMnReO6_L,0,1.16799,1.31336,0.392415,1.44552,0.05166,0,1
Comp_161,RbYMnReO6_R,0,0.7981,1.5281,0.46085,0,0,0.23145,2
Comp_162,RbYMnWO6_C,0.1663,0.7104,0,1.5945,0,0.32455,0,0
Comp_163,RbYNiOsO6_C,0.0845,0.7146,0,1.2878,0,0.27805,0,0
Comp_164,RbYNiOsO6_R,0,0.6543,1.3926,0.4043,0,0,0.1297,2
Comp_165,RbYNiWO6_C,0.0722,0.6434,0,1.2341,0,0.2446,0,0
Comp_166,RbYNiWO6_R,0,0.6852,1.3818,0.3994,0,0,0.14755,2
Comp_167,RbYVOsO6_C,0.0475,0.6948,0,1.1202,0,0.2711,0,0
Comp_168,RbYVOsO6_R,0,0.5647,1.3072,0.3266,0,0,0.0338,2
Comp_169,RbYVWO6_C,0.0651,0.6664,0,1.2415,0,0.25405,0,0
Comp_170,RbYVWO6_R,0,0.611,1.4605,0.3874,0,0,0.14745,2
Comp_171,SmSnMnNiO6_C,0.25589,1.45985,0,2.2283,0,0.29223,0,0
Comp_172,SmSnMnNiO6_L,0,1.13914,1.75121,0.89533,0.29658,0.05494,0,1
Comp_173,SrCeMnNiO6_C,0.0341,0.78593,0,1.48477,0,0.18469,0,0
Comp_174,SrCeMnNiO6_L,0,1.09268,0.98601,0.443025,0.58094,0.01007,0,1
Comp_175,SrCeMnNiO6_R,0,0.9283,1.3796,5.617,0,0,0.12,2
Comp_176,SrDyMnNiO6_C,0.04275,0.80972,0,1.37889,0,0.16841,0,0
Comp_177,SrDyMnNiO6_L,0,0.93805,1.12341,0.525875,0.48548,0.01651,0,1
Comp_178,SrGdMnNiO6_C,0.02987,0.74596,0,1.27929,0,0.157335,0,0
Comp_179,SrGdMnNiO6_L,0,0.84877,1.05013,0.454645,0.44677,0.00911,0,1
Comp_180,SrHfMnNiO6_C,0.1044,1.08389,0,2.12156,0,0.29699,0,0
Comp_181,SrHfMnNiO6_L,0,1.49668,1.45349,0.732965,0.92704,0.06807,0,1
Comp_182,SrHfMnNiO6_R,0,0.935,2.0039,5.2509,0,0,0.1359,2
Comp_183,SrHoMnNiO6_C,0.0457,0.85406,0,1.43776,0,0.17314,0,0
Comp_184,SrSmMnNiO6_C,0.03009,0.66361,0,1.15692,0,0.14703,0,0
Comp_185,SrSnMnNiO6_C,0.09723,1.03991,0,2.08071,0,0.26308,0,0
Comp_186,SrSnMnNiO6_R,0,1.7051,1.084,5.30545,0,0,0.1498,2
Comp_187,SrTbMnNiO6_R,0,0.8247,1.2591,5.5934,0,0,0.1118,2
Comp_188,SrTmMnNiO6_C,0.05339,0.89295,0,1.53224,0,0.186845,0,0
Comp_189,TmSnMnNiO6_C,0.23645,1.47963,0,2.43151,0,0.27503,0,0
Comp_190,ZnCeMnNiO6_C,0.02056,1.49875,0,1.8114,0,0.170145,0,0
Comp_191,ZnCeMnNiO6_R,0,1.352,1.819,5.6234,0,0,0.132,2
Comp_192,ZnHfMnNiO6_C,0.07988,1.56112,0,2.32658,0,0.224635,0,0
Comp_193,ZnSnMnNiO6_C,0.0694,1.41355,0,2.40375,0,0.199195,0,0
Comp_194,ZnZrMnNiO6_R,0,1.4766,2.1122,5.60295,0,0,0.13105,2
