Index,Compound name,A site,A'site,B site,B'site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Fermi_energy,_cellength_a,_cellength_b,_cellength_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_groupS,Space_group_NoS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,Energy,Energy_C,Energy_R,Energy_diff,Energy_diff(meV),Energy_5-atom_unitcell,target_label
Comp_10,BiCaMnNiO6,Bi,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.17,1.12,0.53,0.69,0.825,0.61,0.784790578,4.66289701,5.278728,5.48777,7.507977,90,89.813339,90,217.493231,P21,4,P4/nmm,129,8.115,2.57,1.7105,-0.027666667,1.775,1.3705,0.333,2.032,5.869,0.2865,0.3725,0.601,4.8895,0.368,0.489,8.2165,1.567166667,3.4195,-0.010236894,0.010236874,-0.064968009,-0.064968009,0.009137269,-0.009137289,0.055266726,0.055266706,0.010236884,0.064968009,0.009137279,0.055266716,0.065769567,0.05601696,14.5318315,24.20039825,-127.127937,-127.434828,-127.434869,0.3069,306.932,76.733,0
Comp_11,BiMgMnNiO6,Bi,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.89,0.53,0.69,0.71,0.61,0.743295904,5.19066593,5.229069,5.367595,7.385007,90,89.62899,90,207.274529,P21,4,P4/nmm,129,8.095,2.602,1.721,-0.032916667,1.765,1.4475,0.3735,0.13,0.131,0,0.3695,0.589,4.88,0.3665,0.479,8.2115,1.566083333,3.425916667,-0.016651648,0.016651627,-0.061925581,-0.061925581,-0.017428589,0.017428569,0.042845596,0.042845576,0.016651638,0.061925581,0.017428579,0.042845586,0.064125304,0.046254725,22.28421081,30.57057752,-123.663764,-124.042465,-124.083912,0.4201,420.148,105.037,0
Comp_12,BiSnMnNiO6,Bi,Sn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.81,0.53,0.69,0.67,0.61,0.728862974,6.99416507,5.252862,5.490968,7.583699,90,89.670219,90,218.735295,P21,4,P4/nmm,129,8.299,2.416,1.7375,0.021333333,1.875,1.3005,0.2625,1.33,1.2165,0.4045,0.349,0.552,4.934,0.356,0.463,8.215,1.5715,3.41,-0.013277373,0.013277353,-0.053098339,-0.053098339,0.015588288,-0.015588308,0.06589745,0.06589743,0.013277363,0.053098339,0.015588298,0.06589744,0.054733189,0.067716081,19.9638625,22.96442264,-124.575506,-124.864875,-124.705831,0.2894,289.369,72.34225,0
Comp_13,BiZnMnNiO6,Bi,Zn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.9,0.53,0.69,0.715,0.61,0.74510002,4.67881327,5.2636,5.309097,7.434524,90,89.853683,90,207.756828,P21,4,P4/nmm,129,8.103,2.6135,1.73,-0.037416667,1.7575,1.4675,0.385,0.415,0.392,9.8725,0.364,0.576,4.8675,0.36,0.4625,8.198,1.56825,3.408583333,-0.017619269,0.017619249,-0.057354357,-0.057354357,-0.024409255,0.024409234,0.022875308,0.022875287,0.017619259,0.057354357,0.024409245,0.022875298,0.059999671,0.033452809,22.52500063,32.05148532,-117.92224,-118.350144,-118.028907,0.4279,427.904,106.976,0
Comp_14,CaCeMnNiO6,Ca,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.97,0.53,0.69,1.045,0.61,0.864171694,5.1464976,5.285798,5.453618,7.511146,90,89.719521,90,216.519139,P21,4,P4/nmm,129,9.688,2.686,1.731,0.059916667,2.032,5.868,0.283,1.966,5.635,0.736,0.367,0.591,4.9035,0.371,0.5035,8.237,1.561,3.4485,-0.010813964,0.010813944,-0.052605338,-0.052605338,0.010270835,-0.010270855,0.057404701,0.057404681,0.010813954,0.052605338,0.010270845,0.057404691,0.053705337,0.058316283,14.49727681,21.09192116,-145.649234,-145.855433,-145.874466,0.2252,225.232,56.308,0
Comp_15,CaHfMnNiO6,Ca,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.83,0.53,0.69,0.68,0.61,0.732471206,4.85639639,5.0511,5.426116,7.448697,90,89.465973,90,204.143934,P21,4,P4/nmm,129,9.713,2.7075,1.738,0.0625,2.0375,5.875,0.3115,0.473,0.765,2.0905,0.369,0.593,4.905,0.374,0.504,8.2445,1.554833333,3.482416667,-0.009440005,0.009439985,-0.056221766,-0.056221766,0.023265091,-0.023265111,0.09052369,0.09052367,0.009439995,0.056221766,0.023265101,0.09052368,0.057008776,0.09346551,21.46631795,26.13796445,-142.505,-142.894,-142.4361,0.389,389,97.25,0
Comp_16,CaPbMnNiO6,Ca,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.94,0.53,0.69,1.03,0.61,0.858759345,4.36412776,5.229857,5.459239,7.498553,90,89.781181,90,214.089946,P21,4,P4/nmm,129,9.684,2.6815,1.7365,0.064166667,2.034,5.872,0.2995,1.4265,1.4735,0.479,0.369,0.587,4.8905,0.3685,0.49,8.221,1.567,3.417916667,-0.011060283,0.011060262,-0.057727742,-0.057727742,0.014454148,-0.014454168,0.06917684,0.06917682,0.011060272,0.057727742,0.014454158,0.06917683,0.058777733,0.070670762,17.31701956,23.54175097,-125.993509,-126.184813,-126.272914,0.2794,279.405,69.85125,0
Comp_17,CaZrMnNiO6,Ca,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.84,0.53,0.69,0.685,0.61,0.734275323,4.6571859,5.079934,5.456175,7.442442,90,89.465073,90,206.27325,P21,4,P4/nmm,129,9.714,2.706,1.737,0.06175,2.0365,5.874,0.307,0.472,0.7565,2.2315,0.369,0.5925,4.905,0.374,0.5035,8.2425,1.55725,3.47125,-0.009432507,0.009432486,-0.057806171,-0.057806171,0.023732587,-0.023732607,0.088606432,0.088606411,0.009432497,0.057806171,0.023732597,0.088606421,0.058570687,0.091729679,20.47615835,25.59441146,-140.3711,-140.7433,-140.305,0.3722,372.2,93.05,0
Comp_18,CdPbMnNiO6,Cd,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.1,0.94,0.53,0.69,0.735,0.61,0.752316485,3.97833503,5.266224,5.396858,7.530493,90,89.765198,90,214.022799,P21,4,P4/nmm,129,9.697,2.73,1.746,0.0535,0.327,0.268,9.643,1.4185,1.5125,0.501,0.364,0.574,4.86,0.3605,0.4695,8.2035,1.569666667,3.400666667,0.004242657,-0.004242677,-0.037561857,-0.037561857,0.016535162,-0.016535182,0.064527206,0.064527186,0.004242667,0.037561857,0.016535172,0.064527196,0.037800705,0.066612093,17.73716236,23.00613774,-115.1135,-115.2454,-115.2057,0.1319,131.9,32.975,0
Comp_19,CdTbMnNiO6,Cd,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.1,0.88,0.53,0.69,0.99,0.61,0.844326415,2.94527472,5.247865,5.365298,7.489165,90,90.055313,90,210.86752,P21,4,P4/nmm,129,7.901,2.557,1.6035,-0.039333333,0.318,0.258,9.639,0.28,6.687,1.3515,0.376,0.608,4.8655,0.3815,0.524,8.2185,1.563166667,3.425583333,-0.010539407,0.010539386,-0.045065384,-0.045065384,0.014320425,-0.014320445,0.061209783,0.061209763,0.010539397,0.045065384,0.014320435,0.061209773,0.046281397,0.062862637,14.76401227,19.48853172,-123.9103879,-124.0920787,-124.0923741,0.182,181.986,45.496555,0
Comp_20,DyCaMnNiO6,Dy,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.027,1.12,0.53,0.69,0.825,0.61,0.784790578,3.27231194,5.213497,5.421021,7.432758,90,90.012054,90,210.068128,P21,4,P4/nmm,129,7.889,2.511,1.568,-0.0275,0.315,6.7925,1.353,2.033,5.872,0.2955,0.381,0.619,4.8875,0.392,0.551,8.2365,1.559583333,3.446583333,-0.01639367,0.01639365,-0.067532608,-0.067532608,0.013440561,-0.013440581,0.05723854,0.05723852,0.01639366,0.067532608,0.013440571,0.05723853,0.069493922,0.058795393,13.71563051,23.31008424,-140.627494,-140.576474,-140.520335,-0.051,-51.02,-12.755,0
Comp_21,GdCaMnNiO6,Gd,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.053,1.12,0.53,0.69,1.0865,0.61,0.879145859,3.33157331,5.248313,5.405228,7.462284,90,90.087852,90,211.692281,P21,4,P4/nmm,129,-21.76,-2.5105,-1.5905,0.02625,2.141,5.981,0.93,2.032,5.87,0.2885,0.381,0.62,4.889,0.3895,0.546,8.2365,1.5605,3.4405,-0.014050104,0.014050084,-0.061125853,-0.061125853,0.012993378,-0.012993398,0.053805306,0.053805286,0.014050094,0.061125853,0.012993388,0.053805296,0.062719814,0.055351947,13.86349427,21.52734941,-136.32746,-136.46594,-136.41261,0.1385,138.48,34.62,0
Comp_22,GdCaMnNiO6,Gd,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.053,1.12,0.53,0.69,0.825,0.61,0.784790578,3.22234282,5.248313,5.405228,7.462284,90,90.087852,90,211.692281,P21,4,P4/nmm,129,-21.76,-2.5105,-1.5905,0.02625,2.141,5.981,0.93,2.032,5.87,0.2885,0.381,0.62,4.889,0.3895,0.546,8.2365,1.5605,3.4405,-0.014050104,0.014050084,-0.061125853,-0.061125853,0.012993378,-0.012993398,0.053805306,0.053805286,0.014050094,0.061125853,0.012993388,0.053805296,0.062719814,0.055351947,13.96584388,21.316824,-136.32746,-136.46594,-136.41261,0.1385,138.48,34.62,0
Comp_23,GdMgMnNiO6,Gd,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.89,0.53,0.69,0.9715,0.61,0.837651185,3.71634572,5.13006,5.32539,7.343189,90,89.970032,90,200.612736,P21,4,P4/nmm,129,-8.357,2.5255,0.0035,0.03125,2.101,5.9475,0.6485,0.083,0.059,0,0.377,0.6085,4.908,0.396,0.581,8.28,1.564416667,3.398333333,-0.019921225,0.019921205,-0.063351102,-0.063351102,0.003430981,-0.003431001,0.059602922,0.059602902,0.019921215,0.063351102,0.003430991,0.059602912,0.066409464,0.059701581,22.5466316,25.97501408,-129.80202,-129.97752,-129.97056,0.1755,175.5,43.875,0
