Index,Compound name,A site,A'site,B site,B'site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Energy,Fermi_energy,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_group_LS,Space_group_No_LS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,Q_R-,Q_R+,Q_T,Q_AFE_(A),Q_AFE_(O),CD_(2D),CD_(3D),target_label
Comp_20,CaCeMnNiO6_R,Ca,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.97,0.53,0.69,1.045,0.61,0.864171694,-145.874466,5.12122428,5.260381,5.469502,7.500923,90.002045,89.822502,90.00415,215.813034,Pc,4,P4/nmm,129,9.701,2.706,1.7265,0.056833333,2.032,5.873,0.294,1.966,5.628,0.753,0.365,0.595,4.888,0.369,0.4985,8.233,1.560833333,3.449416667,-0.013949245,-0.014009435,-0.0588433,-0.0588433,0.017188757,0.017230439,-0.062845331,0.062865749,0.01397934,0.0588433,0.017209598,0.06285554,0.060481038,0.065168928,15.00043758,20.17819524,0,1.1255,1.5566,5.3339,0,0,0.13095,2
Comp_21,CaHfMnNiO6_C,Ca,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.83,0.53,0.69,0.68,0.61,0.732471206,-142.894,4.80082012,5.10002,5.463908,7.316264,90.651047,89.78923,89.482407,203.852365,P-1,2,P42/mmc,131,9.74,2.7425,1.7305,0.0585,2.037,5.882,0.319,0.483,0.755,2.141,0.3645,0.59,4.879,0.3735,0.502,8.244,1.554666667,3.481,-0.016570407,0.016570407,-0.073995789,-0.073995789,0.033299582,-0.033299623,-0.081391946,0.081391905,0.016570407,0.073995789,0.033299603,0.081391925,0.075828459,0.087940372,22.44167463,26.20869872,0.09848,1.24873,0,2.27508,0,0.235705,0,0
Comp_22,CaHfMnNiO6_L,Ca,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.83,0.53,0.69,0.68,0.61,0.732471206,-142.505,4.85639639,5.0511,5.426116,7.448697,90,89.465973,90,204.143934,P21,4,P4/nmm,129,9.713,2.7075,1.738,0.0625,2.0375,5.875,0.3115,0.473,0.765,2.0905,0.369,0.593,4.905,0.374,0.504,8.2445,1.554833333,3.482416667,-0.009440005,0.009439985,-0.056221766,-0.056221766,0.023265091,-0.023265111,0.09052369,0.09052367,0.009439995,0.056221766,0.023265101,0.09052368,0.057008776,0.09346551,21.46631795,26.13796445,0,1.56366,1.67844,0.87861,0.71871,0.08925,0,1
Comp_23,CaSnMnNiO6_L,Ca,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.81,0.53,0.69,0.67,0.61,0.728862974,-121.4833,5.1441985,5.1159,5.393314,7.482066,90,89.613426,90,206.437887,P21,4,P4/nmm,129,9.7,2.7065,1.7395,0.061166667,2.037,5.876,0.3155,1.1045,1.4915,0.593,0.37,0.5895,4.8975,0.372,0.498,8.2355,1.561583333,3.448333333,-0.010037064,0.010037044,-0.055386396,-0.055386396,0.016286764,-0.016286784,0.078313905,0.078313885,0.010037054,0.055386396,0.016286774,0.078313895,0.056288501,0.079989532,20.72062709,25.99924784,0,1.4982,1.66044,0.04123,0.61115,0.07166,0,1
Comp_24,CaTbMnNiO6_R,Ca,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.88,0.53,0.69,1,0.61,0.847934648,-126.272914,3.27780812,5.234625,5.439126,7.395919,90.002007,90.009918,89.995911,210.574984,Pc,7,F-4 3m,216,7.889,2.554,1.55,-0.031583333,2.033,5.874,0.297,0.275,6.661,1.317,0.378,0.614,4.882,0.394,0.557,8.238,1.559666667,3.445166667,-0.012812688,-0.012863814,-0.0560163,-0.0560163,0.017612685,0.017563498,-0.068219618,0.068232119,0.012838251,0.0560163,0.017588091,0.068225869,0.057468657,0.070456441,14.11184695,19.62344812,0,1.0728,1.4453,5.31475,0,0,0.118,2
Comp_25,CaZrMnNiO6_C,Ca,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.84,0.53,0.69,0.685,0.61,0.734275323,-140.7433,4.62535147,5.123806,5.47614,7.33859,90.541061,89.658035,89.629677,205.893902,P-1,2,P42/mmc,131,9.741,2.741,1.7295,0.0575,2.037,5.88,0.314,0.477,0.739,2.281,0.3645,0.591,4.88,0.3735,0.5025,8.2445,1.557166667,3.47,-0.017265021,0.017265021,-0.071925799,-0.071925799,0.030739074,-0.030739114,-0.080536396,0.080536355,0.017265021,0.071925799,0.030739094,0.080536375,0.073968922,0.086203246,21.50826535,25.58711366,0.09068,1.22722,0,2.18603,0,0.21545,0,0
Comp_26,CaZrMnNiO6_L,Ca,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.84,0.53,0.69,0.685,0.61,0.734275323,-140.3711,4.6571859,5.079934,5.456175,7.442442,90,89.465073,90,206.27325,P21,4,P4/nmm,129,9.714,2.706,1.737,0.06175,2.0365,5.874,0.307,0.472,0.7565,2.2315,0.369,0.5925,4.905,0.374,0.5035,8.2425,1.55725,3.47125,-0.009432507,0.009432486,-0.057806171,-0.057806171,0.023732587,-0.023732607,0.088606432,0.088606411,0.009432497,0.057806171,0.023732597,0.088606421,0.058570687,0.091729679,20.47615835,25.59441146,0,1.50649,1.64266,0.888215,0.64512,0.09031,0,1
Comp_27,CdCeMnNiO6_R,Cd,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.1,0.97,0.53,0.69,1.035,0.61,0.860563462,-129.1248519,4.82595172,5.267861,5.428395,7.539093,89.999634,89.825912,89.996986,215.587144,Pc,7,F-4 3m,216,9.704,2.716,1.733,0.0535,0.308,0.255,9.656,1.966,5.628,0.75,0.363,0.589,4.876,0.363,0.4835,8.219,1.564,3.430833333,-0.011088101,-0.01106246,-0.049735864,-0.049735864,0.016581005,0.01650776,-0.058560661,0.058557173,0.01107528,0.049735864,0.016544383,0.058558917,0.050954077,0.060851158,16.26871237,21.17100484,0,1.1585,1.6085,5.32325,0,0,0.133,2
Comp_28,CdHfMnNiO6_C,Cd,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.1,0.83,0.53,0.69,0.68,0.61,0.732471206,-130.7081,4.52961882,5.13305,5.418642,7.324296,90.454735,89.658447,89.631035,203.704827,P-1,2,P42/mmc,131,9.744,2.769,1.737,0.052666667,0.319,0.272,9.661,0.482,0.753,2.129,0.3615,0.582,4.866,0.3675,0.491,8.237,1.5575,3.462833333,-0.015746443,0.015746443,-0.066222663,-0.066222663,0.026371681,-0.026371721,-0.077977825,0.077977784,0.015746443,0.066222663,0.026371701,0.077977804,0.068069021,0.08231649,22.13906545,26.36985291,0.07731,1.25934,0,2.2616,0,0.24832,0,0
Comp_29,CdHfMnNiO6_R,Cd,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.1,0.83,0.53,0.69,0.68,0.61,0.732471206,-130.2368,4.37311565,5.098162,5.407496,7.415311,89.994858,89.622871,90.001289,204.423016,Pc,7,F-4 3m,216,9.735,2.76,1.744,0.051916667,0.31,0.27,9.668,0.495,0.761,2.174,0.36,0.578,4.863,0.362,0.481,8.222,1.5575,3.46175,-0.013903512,-0.013837715,-0.060919868,-0.060919868,0.03354054,0.033541249,-0.077000383,0.077017525,0.013870614,0.060919868,0.033540894,0.077008954,0.062478991,0.083996254,18.68540335,17.9995587,0,1.2598,2.0846,5.32435,0,0,0.13145,2
